Country Name,Country Code,Series Name,Series Code,2018
Antigua and Barbuda,ATG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.599
Argentina,ARG,Population ages 0-14_ total,SP.POP.0014.TO,11017254
Argentina,ARG,Population ages 15-64_ total,SP.POP.1564.TO,28530443
Argentina,ARG,Population ages 65 and above_ total,SP.POP.65UP.TO,4946805
Argentina,ARG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.87
Armenia,ARM,Population ages 0-14_ total,SP.POP.0014.TO,609052
Armenia,ARM,Population ages 15-64_ total,SP.POP.1564.TO,2010536
Armenia,ARM,Population ages 65 and above_ total,SP.POP.65UP.TO,332187
Armenia,ARM,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.149
Aruba,ABW,Population ages 0-14_ total,SP.POP.0014.TO,18843
Aruba,ABW,Population ages 15-64_ total,SP.POP.1564.TO,72659
Aruba,ABW,Population ages 65 and above_ total,SP.POP.65UP.TO,14343
Aruba,ABW,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.411
Australia,AUS,Population ages 0-14_ total,SP.POP.0014.TO,4796190
Australia,AUS,Population ages 15-64_ total,SP.POP.1564.TO,16283255
Australia,AUS,Population ages 65 and above_ total,SP.POP.65UP.TO,3912924
Australia,AUS,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.012
Austria,AUT,Population ages 0-14_ total,SP.POP.0014.TO,1264945
Austria,AUT,Population ages 15-64_ total,SP.POP.1564.TO,5901017
Austria,AUT,Population ages 65 and above_ total,SP.POP.65UP.TO,1681076
Austria,AUT,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.297
Azerbaijan,AZE,Population ages 0-14_ total,SP.POP.0014.TO,2323481
Azerbaijan,AZE,Population ages 15-64_ total,SP.POP.1564.TO,7002908
Azerbaijan,AZE,Population ages 65 and above_ total,SP.POP.65UP.TO,615946
Azerbaijan,AZE,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.68
Bahamas_ The,BHS,Population ages 0-14_ total,SP.POP.0014.TO,86711
Bahamas_ The,BHS,Population ages 15-64_ total,SP.POP.1564.TO,270941
Bahamas_ The,BHS,Population ages 65 and above_ total,SP.POP.65UP.TO,27988
Bahamas_ The,BHS,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Bahamas_ The,BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.025
Bahrain,BHR,Population ages 0-14_ total,SP.POP.0014.TO,302185
Bahrain,BHR,Population ages 15-64_ total,SP.POP.1564.TO,1229175
Bahrain,BHR,Population ages 65 and above_ total,SP.POP.65UP.TO,38080
Bahrain,BHR,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.287
Bangladesh,BGD,Population ages 0-14_ total,SP.POP.0014.TO,44705340
Bangladesh,BGD,Population ages 15-64_ total,SP.POP.1564.TO,108327324
Bangladesh,BGD,Population ages 65 and above_ total,SP.POP.65UP.TO,8323375
Bangladesh,BGD,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.632
Barbados,BRB,Population ages 0-14_ total,SP.POP.0014.TO,49712
Barbados,BRB,Population ages 15-64_ total,SP.POP.1564.TO,191632
Barbados,BRB,Population ages 65 and above_ total,SP.POP.65UP.TO,45297
Barbados,BRB,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Barbados,BRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.147
Belarus,BLR,Population ages 0-14_ total,SP.POP.0014.TO,1599800
Belarus,BLR,Population ages 15-64_ total,SP.POP.1564.TO,6477467
Belarus,BLR,Population ages 65 and above_ total,SP.POP.65UP.TO,1408120
Belarus,BLR,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.595
Belgium,BEL,Population ages 0-14_ total,SP.POP.0014.TO,1948082
Belgium,BEL,Population ages 15-64_ total,SP.POP.1564.TO,7327923
Belgium,BEL,Population ages 65 and above_ total,SP.POP.65UP.TO,2146063
Belgium,BEL,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,98.001
Belize,BLZ,Population ages 0-14_ total,SP.POP.0014.TO,115993
Belize,BLZ,Population ages 15-64_ total,SP.POP.1564.TO,248934
Belize,BLZ,Population ages 65 and above_ total,SP.POP.65UP.TO,18144
Belize,BLZ,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.724
Benin,BEN,Population ages 0-14_ total,SP.POP.0014.TO,4875137
Benin,BEN,Population ages 15-64_ total,SP.POP.1564.TO,6236233
Benin,BEN,Population ages 65 and above_ total,SP.POP.65UP.TO,373678
Benin,BEN,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.312
Bermuda,BMU,Population ages 0-14_ total,SP.POP.0014.TO,NA
Bermuda,BMU,Population ages 15-64_ total,SP.POP.1564.TO,NA
Bermuda,BMU,Population ages 65 and above_ total,SP.POP.65UP.TO,NA
Bermuda,BMU,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Bhutan,BTN,Population ages 0-14_ total,SP.POP.0014.TO,194418
Bhutan,BTN,Population ages 15-64_ total,SP.POP.1564.TO,514690
Bhutan,BTN,Population ages 65 and above_ total,SP.POP.65UP.TO,45286
Bhutan,BTN,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Bhutan,BTN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.895
Bolivia,BOL,Population ages 0-14_ total,SP.POP.0014.TO,3527824
Bolivia,BOL,Population ages 15-64_ total,SP.POP.1564.TO,7008806
Bolivia,BOL,Population ages 65 and above_ total,SP.POP.65UP.TO,816512
Bolivia,BOL,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Bolivia,BOL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.425
Bosnia and Herzegovina,BIH,Population ages 0-14_ total,SP.POP.0014.TO,490819
Bosnia and Herzegovina,BIH,Population ages 15-64_ total,SP.POP.1564.TO,2285649
Bosnia and Herzegovina,BIH,Population ages 65 and above_ total,SP.POP.65UP.TO,547462
Bosnia and Herzegovina,BIH,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.245
Botswana,BWA,Population ages 0-14_ total,SP.POP.0014.TO,768949
Botswana,BWA,Population ages 15-64_ total,SP.POP.1564.TO,1389966
Botswana,BWA,Population ages 65 and above_ total,SP.POP.65UP.TO,95211
Botswana,BWA,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.446
Brazil,BRA,Population ages 0-14_ total,SP.POP.0014.TO,44688338
Brazil,BRA,Population ages 15-64_ total,SP.POP.1564.TO,146090386
Brazil,BRA,Population ages 65 and above_ total,SP.POP.65UP.TO,18690609
Brazil,BRA,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.569
British Virgin Islands,VGB,Population ages 0-14_ total,SP.POP.0014.TO,NA
British Virgin Islands,VGB,Population ages 15-64_ total,SP.POP.1564.TO,NA
British Virgin Islands,VGB,Population ages 65 and above_ total,SP.POP.65UP.TO,NA
British Virgin Islands,VGB,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.723
Brunei Darussalam,BRN,Population ages 0-14_ total,SP.POP.0014.TO,98775
Brunei Darussalam,BRN,Population ages 15-64_ total,SP.POP.1564.TO,309283
Brunei Darussalam,BRN,Population ages 65 and above_ total,SP.POP.65UP.TO,20904
Brunei Darussalam,BRN,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.629
Bulgaria,BGR,Population ages 0-14_ total,SP.POP.0014.TO,1025217
Bulgaria,BGR,Population ages 15-64_ total,SP.POP.1564.TO,4522374
Bulgaria,BGR,Population ages 65 and above_ total,SP.POP.65UP.TO,1476625
Bulgaria,BGR,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.008
Burkina Faso,BFA,Population ages 0-14_ total,SP.POP.0014.TO,8877936
Burkina Faso,BFA,Population ages 15-64_ total,SP.POP.1564.TO,10398183
Burkina Faso,BFA,Population ages 65 and above_ total,SP.POP.65UP.TO,475416
Burkina Faso,BFA,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.358
Burundi,BDI,Population ages 0-14_ total,SP.POP.0014.TO,5084985
Burundi,BDI,Population ages 15-64_ total,SP.POP.1564.TO,5839289
Burundi,BDI,Population ages 65 and above_ total,SP.POP.65UP.TO,251104
Burundi,BDI,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.032
Cabo Verde,CPV,Population ages 0-14_ total,SP.POP.0014.TO,156484
Cabo Verde,CPV,Population ages 15-64_ total,SP.POP.1564.TO,362219
Cabo Verde,CPV,Population ages 65 and above_ total,SP.POP.65UP.TO,25064
Cabo Verde,CPV,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Cabo Verde,CPV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.732
Cambodia,KHM,Population ages 0-14_ total,SP.POP.0014.TO,5070167
Cambodia,KHM,Population ages 15-64_ total,SP.POP.1564.TO,10437230
Cambodia,KHM,Population ages 65 and above_ total,SP.POP.65UP.TO,742401
Cambodia,KHM,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.388
Cameroon,CMR,Population ages 0-14_ total,SP.POP.0014.TO,10750080
Cameroon,CMR,Population ages 15-64_ total,SP.POP.1564.TO,13778037
Cameroon,CMR,Population ages 65 and above_ total,SP.POP.65UP.TO,688120
Cameroon,CMR,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Cameroon,CMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.374
Canada,CAN,Population ages 0-14_ total,SP.POP.0014.TO,5881333
Canada,CAN,Population ages 15-64_ total,SP.POP.1564.TO,24791538
Canada,CAN,Population ages 65 and above_ total,SP.POP.65UP.TO,6385985
Canada,CAN,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.411
Cayman Islands,CYM,Population ages 0-14_ total,SP.POP.0014.TO,NA
Cayman Islands,CYM,Population ages 15-64_ total,SP.POP.1564.TO,NA
Cayman Islands,CYM,Population ages 65 and above_ total,SP.POP.65UP.TO,NA
Cayman Islands,CYM,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Cayman Islands,CYM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Central African Republic,CAF,Population ages 0-14_ total,SP.POP.0014.TO,2066940
Central African Republic,CAF,Population ages 15-64_ total,SP.POP.1564.TO,2467576
Central African Republic,CAF,Population ages 65 and above_ total,SP.POP.65UP.TO,131861
Central African Republic,CAF,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Central African Republic,CAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.364
Chad,TCD,Population ages 0-14_ total,SP.POP.0014.TO,7294091
Chad,TCD,Population ages 15-64_ total,SP.POP.1564.TO,7799731
Chad,TCD,Population ages 65 and above_ total,SP.POP.65UP.TO,383929
Chad,TCD,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Chad,TCD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.059
Channel Islands,CHI,Population ages 0-14_ total,SP.POP.0014.TO,25896
Channel Islands,CHI,Population ages 15-64_ total,SP.POP.1564.TO,115111
Channel Islands,CHI,Population ages 65 and above_ total,SP.POP.65UP.TO,29492
Channel Islands,CHI,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Channel Islands,CHI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.914
Chile,CHL,Population ages 0-14_ total,SP.POP.0014.TO,3699740
Chile,CHL,Population ages 15-64_ total,SP.POP.1564.TO,12869985
Chile,CHL,Population ages 65 and above_ total,SP.POP.65UP.TO,2159435
Chile,CHL,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.564
China,CHN,Population ages 0-14_ total,SP.POP.0014.TO,248978380
China,CHN,Population ages 15-64_ total,SP.POP.1564.TO,991653198
China,CHN,Population ages 65 and above_ total,SP.POP.65UP.TO,152098421
China,CHN,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.152
Colombia,COL,Population ages 0-14_ total,SP.POP.0014.TO,11457872
Colombia,COL,Population ages 15-64_ total,SP.POP.1564.TO,33981574
Colombia,COL,Population ages 65 and above_ total,SP.POP.65UP.TO,4209239
Colombia,COL,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.778
Comoros,COM,Population ages 0-14_ total,SP.POP.0014.TO,329087
Comoros,COM,Population ages 15-64_ total,SP.POP.1564.TO,478207
Comoros,COM,Population ages 65 and above_ total,SP.POP.65UP.TO,25028
Comoros,COM,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Comoros,COM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.965
Congo_ Dem. Rep.,COD,Population ages 0-14_ total,SP.POP.0014.TO,38810574
Congo_ Dem. Rep.,COD,Population ages 15-64_ total,SP.POP.1564.TO,42720476
Congo_ Dem. Rep.,COD,Population ages 65 and above_ total,SP.POP.65UP.TO,2537041
Congo_ Dem. Rep.,COD,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Congo_ Dem. Rep.,COD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.46
Congo_ Rep.,COG,Population ages 0-14_ total,SP.POP.0014.TO,2190230
Congo_ Rep.,COG,Population ages 15-64_ total,SP.POP.1564.TO,2913494
Congo_ Rep.,COG,Population ages 65 and above_ total,SP.POP.65UP.TO,140639
Congo_ Rep.,COG,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Congo_ Rep.,COG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.916
Costa Rica,CRI,Population ages 0-14_ total,SP.POP.0014.TO,1066118
Costa Rica,CRI,Population ages 15-64_ total,SP.POP.1564.TO,3455884
Costa Rica,CRI,Population ages 65 and above_ total,SP.POP.65UP.TO,477439
Costa Rica,CRI,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Costa Rica,CRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.34
Cote d'Ivoire,CIV,Population ages 0-14_ total,SP.POP.0014.TO,10513276
Cote d'Ivoire,CIV,Population ages 15-64_ total,SP.POP.1564.TO,13839238
Cote d'Ivoire,CIV,Population ages 65 and above_ total,SP.POP.65UP.TO,716715
Cote d'Ivoire,CIV,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.779
Croatia,HRV,Population ages 0-14_ total,SP.POP.0014.TO,593451
Croatia,HRV,Population ages 15-64_ total,SP.POP.1564.TO,2659853
Croatia,HRV,Population ages 65 and above_ total,SP.POP.65UP.TO,836096
Croatia,HRV,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Croatia,HRV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.947
Cuba,CUB,Population ages 0-14_ total,SP.POP.0014.TO,1838053
Cuba,CUB,Population ages 15-64_ total,SP.POP.1564.TO,7778252
Cuba,CUB,Population ages 65 and above_ total,SP.POP.65UP.TO,1721834
Cuba,CUB,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Cuba,CUB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.037
Curacao,CUW,Population ages 0-14_ total,SP.POP.0014.TO,30186
Curacao,CUW,Population ages 15-64_ total,SP.POP.1564.TO,102993
Curacao,CUW,Population ages 65 and above_ total,SP.POP.65UP.TO,26671
Curacao,CUW,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Curacao,CUW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.145
Cyprus,CYP,Population ages 0-14_ total,SP.POP.0014.TO,199652
Cyprus,CYP,Population ages 15-64_ total,SP.POP.1564.TO,826457
Cyprus,CYP,Population ages 65 and above_ total,SP.POP.65UP.TO,163156
Cyprus,CYP,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Cyprus,CYP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.81
Czech Republic,CZE,Population ages 0-14_ total,SP.POP.0014.TO,1656185
Czech Republic,CZE,Population ages 15-64_ total,SP.POP.1564.TO,6905907
Czech Republic,CZE,Population ages 65 and above_ total,SP.POP.65UP.TO,2063603
Czech Republic,CZE,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Czech Republic,CZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.792
Denmark,DNK,Population ages 0-14_ total,SP.POP.0014.TO,954159
Denmark,DNK,Population ages 15-64_ total,SP.POP.1564.TO,3694642
Denmark,DNK,Population ages 65 and above_ total,SP.POP.65UP.TO,1148645
Denmark,DNK,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Denmark,DNK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.874
Djibouti,DJI,Population ages 0-14_ total,SP.POP.0014.TO,283592
Djibouti,DJI,Population ages 15-64_ total,SP.POP.1564.TO,631912
Djibouti,DJI,Population ages 65 and above_ total,SP.POP.65UP.TO,43416
Djibouti,DJI,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Djibouti,DJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.777
Dominica,DMA,Population ages 0-14_ total,SP.POP.0014.TO,NA
Dominica,DMA,Population ages 15-64_ total,SP.POP.1564.TO,NA
Dominica,DMA,Population ages 65 and above_ total,SP.POP.65UP.TO,NA
Dominica,DMA,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Dominica,DMA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.483
Dominican Republic,DOM,Population ages 0-14_ total,SP.POP.0014.TO,2973176
Dominican Republic,DOM,Population ages 15-64_ total,SP.POP.1564.TO,6901287
Dominican Republic,DOM,Population ages 65 and above_ total,SP.POP.65UP.TO,752703
Dominican Republic,DOM,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.074
Ecuador,ECU,Population ages 0-14_ total,SP.POP.0014.TO,4788505
Ecuador,ECU,Population ages 15-64_ total,SP.POP.1564.TO,11073075
Ecuador,ECU,Population ages 65 and above_ total,SP.POP.65UP.TO,1222777
Ecuador,ECU,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Ecuador,ECU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.821
Egypt_ Arab Rep.,EGY,Population ages 0-14_ total,SP.POP.0014.TO,33265916
Egypt_ Arab Rep.,EGY,Population ages 15-64_ total,SP.POP.1564.TO,60010342
Egypt_ Arab Rep.,EGY,Population ages 65 and above_ total,SP.POP.65UP.TO,5147337
Egypt_ Arab Rep.,EGY,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Egypt_ Arab Rep.,EGY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.704
El Salvador,SLV,Population ages 0-14_ total,SP.POP.0014.TO,1742081
El Salvador,SLV,Population ages 15-64_ total,SP.POP.1564.TO,4146570
El Salvador,SLV,Population ages 65 and above_ total,SP.POP.65UP.TO,532093
El Salvador,SLV,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
El Salvador,SLV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.023
Equatorial Guinea,GNQ,Population ages 0-14_ total,SP.POP.0014.TO,485847
Equatorial Guinea,GNQ,Population ages 15-64_ total,SP.POP.1564.TO,790954
Equatorial Guinea,GNQ,Population ages 65 and above_ total,SP.POP.65UP.TO,32173
Equatorial Guinea,GNQ,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Equatorial Guinea,GNQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.143
Eritrea,ERI,Population ages 0-14_ total,SP.POP.0014.TO,NA
Eritrea,ERI,Population ages 15-64_ total,SP.POP.1564.TO,NA
Eritrea,ERI,Population ages 65 and above_ total,SP.POP.65UP.TO,NA
Eritrea,ERI,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Eritrea,ERI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,NA
Estonia,EST,Population ages 0-14_ total,SP.POP.0014.TO,216058
Estonia,EST,Population ages 15-64_ total,SP.POP.1564.TO,845585
Estonia,EST,Population ages 65 and above_ total,SP.POP.65UP.TO,259241
Estonia,EST,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Estonia,EST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.88
Eswatini,SWZ,Population ages 0-14_ total,SP.POP.0014.TO,433031
Eswatini,SWZ,Population ages 15-64_ total,SP.POP.1564.TO,657547
Eswatini,SWZ,Population ages 65 and above_ total,SP.POP.65UP.TO,45613
Eswatini,SWZ,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Eswatini,SWZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.799
Ethiopia,ETH,Population ages 0-14_ total,SP.POP.0014.TO,44545032
Ethiopia,ETH,Population ages 15-64_ total,SP.POP.1564.TO,60855430
Ethiopia,ETH,Population ages 65 and above_ total,SP.POP.65UP.TO,3824097
Ethiopia,ETH,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,20.763
Faroe Islands,FRO,Population ages 0-14_ total,SP.POP.0014.TO,NA
Faroe Islands,FRO,Population ages 15-64_ total,SP.POP.1564.TO,NA
Faroe Islands,FRO,Population ages 65 and above_ total,SP.POP.65UP.TO,NA
Faroe Islands,FRO,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Faroe Islands,FRO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.064
Fiji,FJI,Population ages 0-14_ total,SP.POP.0014.TO,260739
Fiji,FJI,Population ages 15-64_ total,SP.POP.1564.TO,574597
Fiji,FJI,Population ages 65 and above_ total,SP.POP.65UP.TO,48147
Fiji,FJI,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,NA
Fiji,FJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.248
Finland,FIN,Population ages 0-14_ total,SP.POP.0014.TO,890899
